"ORF","GENE","GO set","GO term","GO ID","order"
"YHR191C","CTF8","P","chromosome segregation","GO:0007059","d"
"YNL290W","RFC3","P","chromosome segregation","GO:0007059","d"
"YLR315W","NKP2","P","chromosome segregation","GO:0007059","d"
"YFR013W","IOC3","P","chromosome segregation","GO:0007059","d"
"YBR160W","CDC28","P","chromosome segregation","GO:0007059","d"
"YPL204W","HRR25","P","chromosome segregation","GO:0007059","d"
"YOL094C","RFC4","P","chromosome segregation","GO:0007059","d"
"YNL307C","MCK1","P","chromosome segregation","GO:0007059","d"
"YMR044W","IOC4","P","chromosome segregation","GO:0007059","d"
"YNL273W","TOF1","P","chromosome segregation","GO:0007059","d"
"YDL134C","PPH21","P","chromosome segregation","GO:0007059","d"
"YDL188C","PPH22","P","chromosome segregation","GO:0007059","d"
"YKL092C","BUD2","P","chromosome segregation","GO:0007059","d"
"YPL233W","NSL1","P","chromosome segregation","GO:0007059","d"
"YKR037C","SPC34","P","chromosome segregation","GO:0007059","d"
"YLR243W","GPN3","P","chromosome segregation","GO:0007059","d"
"YCR077C","PAT1","P","chromosome segregation","GO:0007059","d"
"YGL150C","INO80","P","chromosome segregation","GO:0007059","d"
"YPL200W","CSM4","P","chromosome segregation","GO:0007059","d"
"YLR086W","SMC4","P","chromosome segregation","GO:0007059","d"
"YGR113W","DAM1","P","chromosome segregation","GO:0007059","d"
"YGR063C","SPT4","P","chromosome segregation","GO:0007059","d"
"YOL017W","ESC8","P","chromosome segregation","GO:0007059","d"
"YJR060W","CBF1","P","chromosome segregation","GO:0007059","d"
"YLR234W","TOP3","P","chromosome segregation","GO:0007059","d"
"YMR048W","CSM3","P","chromosome segregation","GO:0007059","d"
"YPR135W","CTF4","P","chromosome segregation","GO:0007059","d"
"YGL061C","DUO1","P","chromosome segregation","GO:0007059","d"
"YCL029C","BIK1","P","chromosome segregation","GO:0007059","d"
"YKL052C","ASK1","P","chromosome segregation","GO:0007059","d"
"YBL058W","SHP1","P","chromosome segregation","GO:0007059","d"
"YGL190C","CDC55","P","chromosome segregation","GO:0007059","d"
"YFR046C","CNN1","P","chromosome segregation","GO:0007059","d"
"YIL072W","HOP1","P","chromosome segregation","GO:0007059","d"
"YIR025W","MND2","P","chromosome segregation","GO:0007059","d"
"YIL144W","NDC80","P","chromosome segregation","GO:0007059","d"
"YKL049C","CSE4","P","chromosome segregation","GO:0007059","d"
"YDR260C","SWM1","P","chromosome segregation","GO:0007059","d"
"YDR320C-A","DAD4","P","chromosome segregation","GO:0007059","d"
"YAL047C","SPC72","P","chromosome segregation","GO:0007059","d"
"YFR027W","ECO1","P","chromosome segregation","GO:0007059","d"
"YGL033W","HOP2","P","chromosome segregation","GO:0007059","d"
"YIL026C","IRR1","P","chromosome segregation","GO:0007059","d"
"YDL064W","UBC9","P","chromosome segregation","GO:0007059","d"
"YLR320W","MMS22","P","chromosome segregation","GO:0007059","d"
"YER016W","BIM1","P","chromosome segregation","GO:0007059","d"
"YGR275W","RTT102","P","chromosome segregation","GO:0007059","d"
"YIL132C","CSM2","P","chromosome segregation","GO:0007059","d"
"YAR018C","KIN3","P","chromosome segregation","GO:0007059","d"
"YDR113C","PDS1","P","chromosome segregation","GO:0007059","d"
"YDR386W","MUS81","P","chromosome segregation","GO:0007059","d"
"YJR089W","BIR1","P","chromosome segregation","GO:0007059","d"
"YML085C","TUB1","P","chromosome segregation","GO:0007059","d"
"YDL139C","SCM3","P","chromosome segregation","GO:0007059","d"
"YBL097W","BRN1","P","chromosome segregation","GO:0007059","d"
"YBR087W","RFC5","P","chromosome segregation","GO:0007059","d"
"YAL016W","TPD3","P","chromosome segregation","GO:0007059","d"
"YPL017C","IRC15","P","chromosome segregation","GO:0007059","d"
"YBR233W-A","DAD3","P","chromosome segregation","GO:0007059","d"
"YMR001C","CDC5","P","chromosome segregation","GO:0007059","d"
"YPR141C","KAR3","P","chromosome segregation","GO:0007059","d"
"YIL073C","SPO22","P","chromosome segregation","GO:0007059","d"
"YJL080C","SCP160","P","chromosome segregation","GO:0007059","d"
"YPL269W","KAR9","P","chromosome segregation","GO:0007059","d"
"YEL044W","IES6","P","chromosome segregation","GO:0007059","d"
"YPR007C","REC8","P","chromosome segregation","GO:0007059","d"
"YDR374W-A","WIP1","P","chromosome segregation","GO:0007059","d"
"YAL031C","GIP4","P","chromosome segregation","GO:0007059","d"
"YCL016C","DCC1","P","chromosome segregation","GO:0007059","d"
"YER179W","DMC1","P","chromosome segregation","GO:0007059","d"
"YOR144C","ELG1","P","chromosome segregation","GO:0007059","d"
"YOL006C","TOP1","P","chromosome segregation","GO:0007059","d"
"YIR010W","DSN1","P","chromosome segregation","GO:0007059","d"
"YPR179C","HDA3","P","chromosome segregation","GO:0007059","d"
"YLR383W","SMC6","P","chromosome segregation","GO:0007059","d"
"YOL069W","NUF2","P","chromosome segregation","GO:0007059","d"
"YDL126C","CDC48","P","chromosome segregation","GO:0007059","d"
"YHR153C","SPO16","P","chromosome segregation","GO:0007059","d"
"YNL116W","DMA2","P","chromosome segregation","GO:0007059","d"
"YMR190C","SGS1","P","chromosome segregation","GO:0007059","d"
"YGL093W","SPC105","P","chromosome segregation","GO:0007059","d"
"YNL164C","IBD2","P","chromosome segregation","GO:0007059","d"
"YGL116W","CDC20","P","chromosome segregation","GO:0007059","d"
"YOR195W","SLK19","P","chromosome segregation","GO:0007059","d"
"YMR117C","SPC24","P","chromosome segregation","GO:0007059","d"
"YLR272C","YCS4","P","chromosome segregation","GO:0007059","d"
"YDL003W","MCD1","P","chromosome segregation","GO:0007059","d"
"YLR127C","APC2","P","chromosome segregation","GO:0007059","d"
"YBR088C","POL30","P","chromosome segregation","GO:0007059","d"
"YOR373W","NUD1","P","chromosome segregation","GO:0007059","d"
"YDR201W","SPC19","P","chromosome segregation","GO:0007059","d"
"YGL251C","HFM1","P","chromosome segregation","GO:0007059","d"
"YER177W","BMH1","P","chromosome segregation","GO:0007059","d"
"YJL013C","MAD3","P","chromosome segregation","GO:0007059","d"
"YGL249W","ZIP2","P","chromosome segregation","GO:0007059","d"
"YER147C","SCC4","P","chromosome segregation","GO:0007059","d"
"YHR014W","SPO13","P","chromosome segregation","GO:0007059","d"
"YGR225W","AMA1","P","chromosome segregation","GO:0007059","d"
"YDR254W","CHL4","P","chromosome segregation","GO:0007059","d"
"YDR439W","LRS4","P","chromosome segregation","GO:0007059","d"
"YMR311C","GLC8","P","chromosome segregation","GO:0007059","d"
"YLR357W","RSC2","P","chromosome segregation","GO:0007059","d"
"YOL104C","NDJ1","P","chromosome segregation","GO:0007059","d"
"YDR110W","FOB1","P","chromosome segregation","GO:0007059","d"
"YMR168C","CEP3","P","chromosome segregation","GO:0007059","d"
"YML034W","SRC1","P","chromosome segregation","GO:0007059","d"
"YPL137C","GIP3","P","chromosome segregation","GO:0007059","d"
"YOL034W","SMC5","P","chromosome segregation","GO:0007059","d"
"YNL262W","POL2","P","chromosome segregation","GO:0007059","d"
"YAL024C","LTE1","P","chromosome segregation","GO:0007059","d"
"YMR055C","BUB2","P","chromosome segregation","GO:0007059","d"
"YKL193C","SDS22","P","chromosome segregation","GO:0007059","d"
"YOR262W","GPN2","P","chromosome segregation","GO:0007059","d"
"YML124C","TUB3","P","chromosome segregation","GO:0007059","d"
"YFR031C","SMC2","P","chromosome segregation","GO:0007059","d"
"YCL061C","MRC1","P","chromosome segregation","GO:0007059","d"
"YJR068W","RFC2","P","chromosome segregation","GO:0007059","d"
"YDR016C","DAD1","P","chromosome segregation","GO:0007059","d"
"YKL089W","MIF2","P","chromosome segregation","GO:0007059","d"
"YKR088C","TVP38","P","chromosome segregation","GO:0007059","d"
"YKL138C-A","HSK3","P","chromosome segregation","GO:0007059","d"
"YNL172W","APC1","P","chromosome segregation","GO:0007059","d"
"YDR409W","SIZ1","P","chromosome segregation","GO:0007059","d"
"YOR156C","NFI1","P","chromosome segregation","GO:0007059","d"
"YLR321C","SFH1","P","chromosome segregation","GO:0007059","d"
"YPR119W","CLB2","P","chromosome segregation","GO:0007059","d"
"YOR178C","GAC1","P","chromosome segregation","GO:0007059","d"
"YER133W","GLC7","P","chromosome segregation","GO:0007059","d"
"YDR356W","SPC110","P","chromosome segregation","GO:0007059","d"
"YPL253C","VIK1","P","chromosome segregation","GO:0007059","d"
"YLR381W","CTF3","P","chromosome segregation","GO:0007059","d"
"YGL127C","SOH1","P","chromosome segregation","GO:0007059","d"
"YGR188C","BUB1","P","chromosome segregation","GO:0007059","d"
"YJL074C","SMC3","P","chromosome segregation","GO:0007059","d"
"YML064C","TEM1","P","chromosome segregation","GO:0007059","d"
"YKR083C","DAD2","P","chromosome segregation","GO:0007059","d"
"YFL037W","TUB2","P","chromosome segregation","GO:0007059","d"
"YDL028C","MPS1","P","chromosome segregation","GO:0007059","d"
"YDR285W","ZIP1","P","chromosome segregation","GO:0007059","d"
"YLR263W","RED1","P","chromosome segregation","GO:0007059","d"
"YFR028C","CDC14","P","chromosome segregation","GO:0007059","d"
"YGL216W","KIP3","P","chromosome segregation","GO:0007059","d"
"YMR198W","CIK1","P","chromosome segregation","GO:0007059","d"
"YJR072C","NPA3","P","chromosome segregation","GO:0007059","d"
"YMR076C","PDS5","P","chromosome segregation","GO:0007059","d"
"YBR211C","AME1","P","chromosome segregation","GO:0007059","d"
"YCR086W","CSM1","P","chromosome segregation","GO:0007059","d"
"YHR129C","ARP1","P","chromosome segregation","GO:0007059","d"
"YPL008W","CHL1","P","chromosome segregation","GO:0007059","d"
"YPL018W","CTF19","P","chromosome segregation","GO:0007059","d"
"YIL126W","STH1","P","chromosome segregation","GO:0007059","d"
"YOR026W","BUB3","P","chromosome segregation","GO:0007059","d"
"YGR140W","CBF2","P","chromosome segregation","GO:0007059","d"
"YDR014W","RAD61","P","chromosome segregation","GO:0007059","d"
"YDR318W","MCM21","P","chromosome segregation","GO:0007059","d"
"YDR180W","SCC2","P","chromosome segregation","GO:0007059","d"
"YER018C","SPC25","P","chromosome segregation","GO:0007059","d"
"YJL030W","MAD2","P","chromosome segregation","GO:0007059","d"
"YIR011C","STS1","P","chromosome segregation","GO:0007059","d"
"YGL071W","AFT1","P","chromosome segregation","GO:0007059","d"
"YBR245C","ISW1","P","chromosome segregation","GO:0007059","d"
"YOR073W","SGO1","P","chromosome segregation","GO:0007059","d"
"YBR107C","IML3","P","chromosome segregation","GO:0007059","d"
"YJR112W","NNF1","P","chromosome segregation","GO:0007059","d"
"YNL031C","HHT2","P","chromosome segregation","GO:0007059","d"
"YDR419W","RAD30","P","chromosome segregation","GO:0007059","d"
"YEL061C","CIN8","P","chromosome segregation","GO:0007059","d"
"YJL019W","MPS3","P","chromosome segregation","GO:0007059","d"
"YER106W","MAM1","P","chromosome segregation","GO:0007059","d"
"YAL034W-A","MTW1","P","chromosome segregation","GO:0007059","d"
"YMR078C","CTF18","P","chromosome segregation","GO:0007059","d"
"YJR135C","MCM22","P","chromosome segregation","GO:0007059","d"
"YIL031W","ULP2","P","chromosome segregation","GO:0007059","d"
"YDL042C","SIR2","P","chromosome segregation","GO:0007059","d"
"YGL086W","MAD1","P","chromosome segregation","GO:0007059","d"
"YGR179C","OKP1","P","chromosome segregation","GO:0007059","d"
"YBR156C","SLI15","P","chromosome segregation","GO:0007059","d"
"YOR233W","KIN4","P","chromosome segregation","GO:0007059","d"
"YBL031W","SHE1","P","chromosome segregation","GO:0007059","d"
"YLR394W","CST9","P","chromosome segregation","GO:0007059","d"
"YPL209C","IPL1","P","chromosome segregation","GO:0007059","d"
"YDR325W","YCG1","P","chromosome segregation","GO:0007059","d"
"YBL079W","NUP170","P","chromosome segregation","GO:0007059","d"
"YPR046W","MCM16","P","chromosome segregation","GO:0007059","d"
"YHR115C","DMA1","P","chromosome segregation","GO:0007059","d"
"YOR014W","RTS1","P","chromosome segregation","GO:0007059","d"
"YJR053W","BFA1","P","chromosome segregation","GO:0007059","d"
"YFL008W","SMC1","P","chromosome segregation","GO:0007059","d"
"YOR058C","ASE1","P","chromosome segregation","GO:0007059","d"
"YFR003C","YPI1","P","chromosome segregation","GO:0007059","d"
"YBR073W","RDH54","P","chromosome segregation","GO:0007059","d"
"YHR127W","YHR127W","P","chromosome segregation","GO:0007059","d"
"YBL063W","KIP1","P","chromosome segregation","GO:0007059","d"
"YHR199C-A","NBL1","P","chromosome segregation","GO:0007059","d"
"YBR098W","MMS4","P","chromosome segregation","GO:0007059","d"
"YGR098C","ESP1","P","chromosome segregation","GO:0007059","d"
"YGR192C","TDH3","P","cofactor metabolic process","GO:0051186","a"
"YLR328W","NMA1","P","cofactor metabolic process","GO:0051186","a"
"YER141W","COX15","P","cofactor metabolic process","GO:0051186","a"
"YGL253W","HXK2","P","cofactor metabolic process","GO:0051186","a"
"YPL188W","POS5","P","cofactor metabolic process","GO:0051186","a"
"YCL047C","POF1","P","cofactor metabolic process","GO:0051186","a"
"YLR345W","YLR345W","P","cofactor metabolic process","GO:0051186","a"
"YLR151C","PCD1","P","cofactor metabolic process","GO:0051186","a"
"YLR201C","COQ9","P","cofactor metabolic process","GO:0051186","a"
"YNL199C","GCR2","P","cofactor metabolic process","GO:0051186","a"
"YAL044W-A","BOL1","P","cofactor metabolic process","GO:0051186","a"
"YNL009W","IDP3","P","cofactor metabolic process","GO:0051186","a"
"YEL041W","YEF1","P","cofactor metabolic process","GO:0051186","a"
"YLR153C","ACS2","P","cofactor metabolic process","GO:0051186","a"
"YDR081C","PDC2","P","cofactor metabolic process","GO:0051186","a"
"YMR020W","FMS1","P","cofactor metabolic process","GO:0051186","a"
"YDL078C","MDH3","P","cofactor metabolic process","GO:0051186","a"
"YOL136C","PFK27","P","cofactor metabolic process","GO:0051186","a"
"YNL240C","NAR1","P","cofactor metabolic process","GO:0051186","a"
"YDR376W","ARH1","P","cofactor metabolic process","GO:0051186","a"
"YDR204W","COQ4","P","cofactor metabolic process","GO:0051186","a"
"YDL045C","FAD1","P","cofactor metabolic process","GO:0051186","a"
"YMR083W","ADH3","P","cofactor metabolic process","GO:0051186","a"
"YKR072C","SIS2","P","cofactor metabolic process","GO:0051186","a"
"YNR058W","BIO3","P","cofactor metabolic process","GO:0051186","a"
"YER014W","HEM14","P","cofactor metabolic process","GO:0051186","a"
"YOR236W","DFR1","P","cofactor metabolic process","GO:0051186","a"
"YMR289W","ABZ2","P","cofactor metabolic process","GO:0051186","a"
"YKL192C","ACP1","P","cofactor metabolic process","GO:0051186","a"
"YDL120W","YFH1","P","cofactor metabolic process","GO:0051186","a"
"YJL121C","RPE1","P","cofactor metabolic process","GO:0051186","a"
"YLR354C","TAL1","P","cofactor metabolic process","GO:0051186","a"
"YMR220W","ERG8","P","cofactor metabolic process","GO:0051186","a"
"YGR286C","BIO2","P","cofactor metabolic process","GO:0051186","a"
"YER178W","PDA1","P","cofactor metabolic process","GO:0051186","a"
"YHR122W","CIA2","P","cofactor metabolic process","GO:0051186","a"
"YPR067W","ISA2","P","cofactor metabolic process","GO:0051186","a"
"YOL052C","SPE2","P","cofactor metabolic process","GO:0051186","a"
"YBR213W","MET8","P","cofactor metabolic process","GO:0051186","a"
"YPR074C","TKL1","P","cofactor metabolic process","GO:0051186","a"
"YGL040C","HEM2","P","cofactor metabolic process","GO:0051186","a"
"YOR095C","RKI1","P","cofactor metabolic process","GO:0051186","a"
"YGR248W","SOL4","P","cofactor metabolic process","GO:0051186","a"
"YPL252C","YAH1","P","cofactor metabolic process","GO:0051186","a"
"YJR025C","BNA1","P","cofactor metabolic process","GO:0051186","a"
"YOL086C","ADH1","P","cofactor metabolic process","GO:0051186","a"
"YGR256W","GND2","P","cofactor metabolic process","GO:0051186","a"
"YHR063C","PAN5","P","cofactor metabolic process","GO:0051186","a"
"YGR240C","PFK1","P","cofactor metabolic process","GO:0051186","a"
"YJR049C","UTR1","P","cofactor metabolic process","GO:0051186","a"
"YDR481C","PHO8","P","cofactor metabolic process","GO:0051186","a"
"YGR255C","COQ6","P","cofactor metabolic process","GO:0051186","a"
"YDR236C","FMN1","P","cofactor metabolic process","GO:0051186","a"
"YNL256W","FOL1","P","cofactor metabolic process","GO:0051186","a"
"YKR080W","MTD1","P","cofactor metabolic process","GO:0051186","a"
"YKL152C","GPM1","P","cofactor metabolic process","GO:0051186","a"
"YGL091C","NBP35","P","cofactor metabolic process","GO:0051186","a"
"YDR267C","CIA1","P","cofactor metabolic process","GO:0051186","a"
"YOR054C","VHS3","P","cofactor metabolic process","GO:0051186","a"
"YNL241C","ZWF1","P","cofactor metabolic process","GO:0051186","a"
"YOR317W","FAA1","P","cofactor metabolic process","GO:0051186","a"
"YEL029C","BUD16","P","cofactor metabolic process","GO:0051186","a"
"YLR044C","PDC1","P","cofactor metabolic process","GO:0051186","a"
"YNR057C","BIO4","P","cofactor metabolic process","GO:0051186","a"
"YKR071C","DRE2","P","cofactor metabolic process","GO:0051186","a"
"YDR196C","CAB5","P","cofactor metabolic process","GO:0051186","a"
"YKL151C","NNR2","P","cofactor metabolic process","GO:0051186","a"
"YKR069W","MET1","P","cofactor metabolic process","GO:0051186","a"
"YLR134W","PDC5","P","cofactor metabolic process","GO:0051186","a"
"YBR145W","ADH5","P","cofactor metabolic process","GO:0051186","a"
"YOL059W","GPD2","P","cofactor metabolic process","GO:0051186","a"
"YFR053C","HXK1","P","cofactor metabolic process","GO:0051186","a"
"YPL135W","ISU1","P","cofactor metabolic process","GO:0051186","a"
"YDR044W","HEM13","P","cofactor metabolic process","GO:0051186","a"
"YOR209C","NPT1","P","cofactor metabolic process","GO:0051186","a"
"YCL040W","GLK1","P","cofactor metabolic process","GO:0051186","a"
"YBR196C","PGI1","P","cofactor metabolic process","GO:0051186","a"
"YBR117C","TKL2","P","cofactor metabolic process","GO:0051186","a"
"YDR400W","URH1","P","cofactor metabolic process","GO:0051186","a"
"YDR531W","CAB1","P","cofactor metabolic process","GO:0051186","a"
"YOR278W","HEM4","P","cofactor metabolic process","GO:0051186","a"
"YNL129W","NRK1","P","cofactor metabolic process","GO:0051186","a"
"YDR047W","HEM12","P","cofactor metabolic process","GO:0051186","a"
"YGR267C","FOL2","P","cofactor metabolic process","GO:0051186","a"
"YLR146C","SPE4","P","cofactor metabolic process","GO:0051186","a"
"YNR041C","COQ2","P","cofactor metabolic process","GO:0051186","a"
"YJR122W","IBA57","P","cofactor metabolic process","GO:0051186","a"
"YML075C","HMG1","P","cofactor metabolic process","GO:0051186","a"
"YER048W-A","ISD11","P","cofactor metabolic process","GO:0051186","a"
"YER183C","FAU1","P","cofactor metabolic process","GO:0051186","a"
"YHR174W","ENO2","P","cofactor metabolic process","GO:0051186","a"
"YNL071W","LAT1","P","cofactor metabolic process","GO:0051186","a"
"YLL027W","ISA1","P","cofactor metabolic process","GO:0051186","a"
"YMR056C","AAC1","P","cofactor metabolic process","GO:0051186","a"
"YKL088W","CAB3","P","cofactor metabolic process","GO:0051186","a"
"YER125W","RSP5","P","cofactor metabolic process","GO:0051186","a"
"YOR125C","CAT5","P","cofactor metabolic process","GO:0051186","a"
"YHR183W","GND1","P","cofactor metabolic process","GO:0051186","a"
"YDR232W","HEM1","P","cofactor metabolic process","GO:0051186","a"
"YFR047C","BNA6","P","cofactor metabolic process","GO:0051186","a"
"YMR315W","YMR315W","P","cofactor metabolic process","GO:0051186","a"
"YMR113W","FOL3","P","cofactor metabolic process","GO:0051186","a"
"YMR208W","ERG12","P","cofactor metabolic process","GO:0051186","a"
"YJR051W","OSM1","P","cofactor metabolic process","GO:0051186","a"
"YNL216W","RAP1","P","cofactor metabolic process","GO:0051186","a"
"YIL003W","CFD1","P","cofactor metabolic process","GO:0051186","a"
"YCR008W","SAT4","P","cofactor metabolic process","GO:0051186","a"
"YDL022W","GPD1","P","cofactor metabolic process","GO:0051186","a"
"YDR050C","TPI1","P","cofactor metabolic process","GO:0051186","a"
"YAL054C","ACS1","P","cofactor metabolic process","GO:0051186","a"
"YDR428C","BNA7","P","cofactor metabolic process","GO:0051186","a"
"YGR193C","PDX1","P","cofactor metabolic process","GO:0051186","a"
"YPL273W","SAM4","P","cofactor metabolic process","GO:0051186","a"
"YGR180C","RNR4","P","cofactor metabolic process","GO:0051186","a"
"YGL119W","COQ8","P","cofactor metabolic process","GO:0051186","a"
"YDR502C","SAM2","P","cofactor metabolic process","GO:0051186","a"
"YLR231C","BNA5","P","cofactor metabolic process","GO:0051186","a"
"YBR035C","PDX3","P","cofactor metabolic process","GO:0051186","a"
"YGR254W","ENO1","P","cofactor metabolic process","GO:0051186","a"
"YKL040C","NFU1","P","cofactor metabolic process","GO:0051186","a"
"YOL008W","COQ10","P","cofactor metabolic process","GO:0051186","a"
"YMR303C","ADH2","P","cofactor metabolic process","GO:0051186","a"
"YLR205C","HMX1","P","cofactor metabolic process","GO:0051186","a"
"YML120C","NDI1","P","cofactor metabolic process","GO:0051186","a"
"YPL059W","GRX5","P","cofactor metabolic process","GO:0051186","a"
"YAL038W","CDC19","P","cofactor metabolic process","GO:0051186","a"
"YGR244C","LSC2","P","cofactor metabolic process","GO:0051186","a"
"YBL098W","BNA4","P","cofactor metabolic process","GO:0051186","a"
"YJR078W","BNA2","P","cofactor metabolic process","GO:0051186","a"
"YOR143C","THI80","P","cofactor metabolic process","GO:0051186","a"
"YCR012W","PGK1","P","cofactor metabolic process","GO:0051186","a"
"YOR176W","HEM15","P","cofactor metabolic process","GO:0051186","a"
"YNR056C","BIO5","P","cofactor metabolic process","GO:0051186","a"
"YKL184W","SPE1","P","cofactor metabolic process","GO:0051186","a"
"YIL155C","GUT2","P","cofactor metabolic process","GO:0051186","a"
"YPR069C","SPE3","P","cofactor metabolic process","GO:0051186","a"
"YHR074W","QNS1","P","cofactor metabolic process","GO:0051186","a"
"YGL037C","PNC1","P","cofactor metabolic process","GO:0051186","a"
"YBR003W","COQ1","P","cofactor metabolic process","GO:0051186","a"
"YMR205C","PFK2","P","cofactor metabolic process","GO:0051186","a"
"YNR027W","BUD17","P","cofactor metabolic process","GO:0051186","a"
"YPL172C","COX10","P","cofactor metabolic process","GO:0051186","a"
"YMR246W","FAA4","P","cofactor metabolic process","GO:0051186","a"
"YLR209C","PNP1","P","cofactor metabolic process","GO:0051186","a"
"YLR369W","SSQ1","P","cofactor metabolic process","GO:0051186","a"
"YBR221C","PDB1","P","cofactor metabolic process","GO:0051186","a"
"YHR163W","SOL3","P","cofactor metabolic process","GO:0051186","a"
"YIL083C","CAB2","P","cofactor metabolic process","GO:0051186","a"
"YNL200C","NNR1","P","cofactor metabolic process","GO:0051186","a"
"YDL085W","NDE2","P","cofactor metabolic process","GO:0051186","a"
"YLR290C","COQ11","P","cofactor metabolic process","GO:0051186","a"
"YDL205C","HEM3","P","cofactor metabolic process","GO:0051186","a"
"YBR176W","ECM31","P","cofactor metabolic process","GO:0051186","a"
"YIL145C","PAN6","P","cofactor metabolic process","GO:0051186","a"
"YMR145C","NDE1","P","cofactor metabolic process","GO:0051186","a"
"YMR110C","HFD1","P","cofactor metabolic process","GO:0051186","a"
"YOR226C","ISU2","P","cofactor metabolic process","GO:0051186","a"
"YGL018C","JAC1","P","cofactor metabolic process","GO:0051186","a"
"YHL047C","ARN2","P","cofactor metabolic process","GO:0051186","a"
"YNR001C","CIT1","P","cofactor metabolic process","GO:0051186","a"
"YPL061W","ALD6","P","cofactor metabolic process","GO:0051186","a"
"YBR084W","MIS1","P","cofactor metabolic process","GO:0051186","a"
"YOL096C","COQ3","P","cofactor metabolic process","GO:0051186","a"
"YOR142W","LSC1","P","cofactor metabolic process","GO:0051186","a"
"YPR048W","TAH18","P","cofactor metabolic process","GO:0051186","a"
"YGL067W","NPY1","P","cofactor metabolic process","GO:0051186","a"
"YKL060C","FBA1","P","cofactor metabolic process","GO:0051186","a"
"YGR010W","NMA2","P","cofactor metabolic process","GO:0051186","a"
"YOR374W","ALD4","P","cofactor metabolic process","GO:0051186","a"
"YGR204W","ADE3","P","cofactor metabolic process","GO:0051186","a"
"YGR277C","CAB4","P","cofactor metabolic process","GO:0051186","a"
"YOR344C","TYE7","P","cofactor metabolic process","GO:0051186","a"
"YPL075W","GCR1","P","cofactor metabolic process","GO:0051186","a"
"YJL052W","TDH1","P","cofactor metabolic process","GO:0051186","a"
"YLR180W","SAM1","P","cofactor metabolic process","GO:0051186","a"
"YHR032W","ERC1","P","cofactor metabolic process","GO:0051186","a"
"YCL017C","NFS1","P","cofactor metabolic process","GO:0051186","a"
"YJR009C","TDH2","P","cofactor metabolic process","GO:0051186","a"
"YML110C","COQ5","P","cofactor metabolic process","GO:0051186","a"
"YJR084W","YJR084W","P","conjugation","GO:0000746","d"
"YGL162W","SUT1","P","conjugation","GO:0000746","d"
"YGR238C","KEL2","P","conjugation","GO:0000746","d"
"YLR362W","STE11","P","conjugation","GO:0000746","d"
"YJR086W","STE18","P","conjugation","GO:0000746","d"
"YDL006W","PTC1","P","conjugation","GO:0000746","d"
"YJL157C","FAR1","P","conjugation","GO:0000746","d"
"YPR141C","KAR3","P","conjugation","GO:0000746","d"
"YLR313C","SPH1","P","conjugation","GO:0000746","d"
"YNR044W","AGA1","P","conjugation","GO:0000746","d"
"YDL159W","STE7","P","conjugation","GO:0000746","d"
"YLR229C","CDC42","P","conjugation","GO:0000746","d"
"YMR274C","RCE1","P","conjugation","GO:0000746","d"
"YCL027W","FUS1","P","conjugation","GO:0000746","d"
"YHR158C","KEL1","P","conjugation","GO:0000746","d"
"YCL058C","FYV5","P","conjugation","GO:0000746","d"
"YGL032C","AGA2","P","conjugation","GO:0000746","d"
"YOR127W","RGA1","P","conjugation","GO:0000746","d"
"YOL117W","RRI2","P","conjugation","GO:0000746","d"
"YDL100C","GET3","P","conjugation","GO:0000746","d"
"YFR008W","FAR7","P","conjugation","GO:0000746","d"
"YHR066W","SSF1","P","conjugation","GO:0000746","d"
"YCL055W","KAR4","P","conjugation","GO:0000746","d"
"YNL145W","MFA2","P","conjugation","GO:0000746","d"
"YBR109C","CMD1","P","conjugation","GO:0000746","d"
"YDR264C","AKR1","P","conjugation","GO:0000746","d"
"YCL032W","STE50","P","conjugation","GO:0000746","d"
"YNL188W","KAR1","P","conjugation","GO:0000746","d"
"YMR232W","FUS2","P","conjugation","GO:0000746","d"
"YOR018W","ROD1","P","conjugation","GO:0000746","d"
"YLR120C","YPS1","P","conjugation","GO:0000746","d"
"YDL214C","PRR2","P","conjugation","GO:0000746","d"
"YKL178C","STE3","P","conjugation","GO:0000746","d"
"YJR004C","SAG1","P","conjugation","GO:0000746","d"
"YHL007C","STE20","P","conjugation","GO:0000746","d"
"YFL026W","STE2","P","conjugation","GO:0000746","d"
"YNL053W","MSG5","P","conjugation","GO:0000746","d"
"YMR162C","DNF3","P","conjugation","GO:0000746","d"
"YIL037C","PRM2","P","conjugation","GO:0000746","d"
"YER075C","PTP3","P","conjugation","GO:0000746","d"
"YLR433C","CNA1","P","conjugation","GO:0000746","d"
"YNR032C-A","HUB1","P","conjugation","GO:0000746","d"
"YHR005C","GPA1","P","conjugation","GO:0000746","d"
"YMR052W","FAR3","P","conjugation","GO:0000746","d"
"YDR179C","CSN9","P","conjugation","GO:0000746","d"
"YIL015W","BAR1","P","conjugation","GO:0000746","d"
"YGR040W","KSS1","P","conjugation","GO:0000746","d"
"YLR389C","STE23","P","conjugation","GO:0000746","d"
"YDL165W","CDC36","P","conjugation","GO:0000746","d"
"YJR090C","GRR1","P","conjugation","GO:0000746","d"
"YDR461W","MFA1","P","conjugation","GO:0000746","d"
"YPR009W","SUT2","P","conjugation","GO:0000746","d"
"YBR200W","BEM1","P","conjugation","GO:0000746","d"
"YMR025W","CSI1","P","conjugation","GO:0000746","d"
"YCR091W","KIN82","P","conjugation","GO:0000746","d"
"YFR022W","ROG3","P","conjugation","GO:0000746","d"
