"Gene.ID","mycOFF.mean","mycON.mean"
"ADSS",35.5762205555556,78.6313912
"AEBP1",30.5818408888889,18.649256
"AEBP2",16.667661,20.6646699
"AEN",83.9864452222222,110.3127777
"AES",634.263753222222,270.9662416
"AFF1",68.6459833333333,38.2532693
"AFF3",23.1446041111111,23.4528097
"AFF4",31.0937103333333,12.7793467
"AFG3L1P",16.2788062222222,14.5669965
"AFG3L2",41.7484261111111,107.6968384
"AFMID",17.0518823333333,75.971032
"AFTPH",72.1627654444444,23.2656274
"AGA",13.4492727777778,9.7264044
"AGAP2",27.0732178888889,11.3047263
"AGAP3",7.24939744444444,49.84431
"AGAP4",5.176048,4.6531432
"AGAP5",4.687954,3.7756233
"AGAP6",13.9142117777778,16.2037617
"AGAP9",7.80928255555555,6.5290217
"AGBL2",3.089761,0.4036573
"AGBL3",0.853969222222222,1.2295094
"AGBL5",13.8205531111111,30.4948473
"AGER",31.9237053333333,8.9476503
"AGFG1",18.0148055555556,16.594555
"AGFG2",6.52350744444444,3.9787366
"AGGF1",20.5571422222222,19.1237479
"AGK",22.1541756666667,48.2142642
"AGL",18.5645255555556,18.0136446
"AGMAT",6.01043933333333,9.6202002
"AGO1",15.0755297777778,12.548668
"AGO2",21.3663221111111,16.9449615
"AGO3",12.2765686666667,6.869592
"AGO4",14.3238667777778,4.8508953
"AGPAT1",77.591786,65.2687587
"AGPAT2",40.279906,28.4821219
"AGPAT3",14.5128061111111,21.3654595
"AGPAT4",5.16275422222222,2.0692849
"AGPAT4-IT1",2.48705744444444,0.7427331
"AGPAT5",38.4404177777778,54.6036098
"AGPAT6",36.5910067777778,24.3628794
"AGPS",17.0933041111111,26.9217557
"AGRN",52.5534163333333,58.2049919
"AGTPBP1",32.6919522222222,35.4232465
"AGTRAP",20.1751842222222,36.3950679
"AHCTF1",15.7531805555556,30.078271
"AHCTF1P1",2.37144177777778,4.6935263
"AHCY",74.1594556666667,438.2012664
"AHCYL1",56.7884912222222,52.4459818
"AHCYL2",6.00231377777778,4.3301525
"AHDC1",13.0168331111111,7.7860933
"AHI1",1.65062355555556,6.6559563
"AHNAK",149.111713777778,26.4505931
"AHNAK2",1.43600077777778,0.5670553
"AHR",0.884064111111111,0.8976769
"AHRR",1.55881588888889,1.2845131
"AHSA1",95.556873,296.5341309
"AHSA2",98.0032814444444,34.0236827
"AICDA",112.568144,32.1907771
"AIDA",69.5825423333333,31.2919944
"AIF1",80.1338585555556,52.1560658
"AIF1L",0.281619888888889,0.1258681
"AIFM1",51.4224673333333,102.3396644
"AIFM2",11.126461,6.7994472
"AIM1",16.6470768888889,2.5518955
